,Category,Description,Domain,Enrolled,Features,Instructors_Names,Instructors_No,Offered_by,People_rated,Rating,Sub_Domain,Tittle,Views
10,specializations,"This 5-course specialization focuses on advanced machine learning topics using Google Cloud Platform where you will get hands-on experience optimizing, deploying, and scaling production ML models of various types in hands-on labs. This specialization picks up where âMachine Learning on GCPâ left off and teaches you how to build scalable, accurate, and production-ready models for structured data, image data, time-series, and natural language text. It ends with a course on building recommendation systems. Topics introduced in earlier courses are referenced in later courses, so it is recommended that you take the courses in exactly this order.",Data Science,41419,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Advanced Level', 'Approximately 3 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Advanced Level', 'Approximately 3 months to complete', 'English']",['Google Cloud Training'],1.0,Google Cloud,1831,4.5,Machine Learning,Advanced Machine Learning on Google Cloud Specialization,9200
11,specializations,"This Specialization on advanced spacecraft dynamcis and control is intended for experienced spacecraft dynamics and GNC engineers and researchers. It is assumed the viewer has completed the prior spacecraft dynamics specialization already. Through 3 courses we cover the topics of momentum-based attitude dynamics and control, we derive analytical methods to model complex spacecraft systems, and finally conclude with a captstone project course. After this course you will be prepared to model the dynamics of spacecraft systems with time varying components (reacton wheels, CMS, deployable panels, etc.).",Physical Science and Engineering,,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Advanced Level', 'Approximately 3 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Advanced Level', 'Approximately 3 months to complete', 'English']",['Hanspeter Schaub'],1.0,University of Colorado Boulder,1831,,Physics and Astronomy,Advanced Spacecraft Dynamics and Control Specialization,
12,specializations,"Fundamental concepts in probability, statistics and linear models are primary building blocks for data science work. Learners aspiring to become biostatisticians and data scientists will benefit from the foundational knowledge being offered in this specialization. It will enable the learner to understand the behind-the-scenes mechanism of key modeling tools in data science, like least squares and linear regression.

This specialization starts with Mathematical Statistics bootcamps, specifically concepts and methods used in biostatistics applications. These range from probability, distribution, and likelihood concepts to hypothesis testing and case-control sampling.

This specialization also linear models for data science, starting from understanding least squares from a linear algebraic and mathematical perspective, to statistical linear models, including multivariate regression using the R programming language. These courses will give learners a firm foundation in the linear algebraic treatment of regression modeling, which will greatly augment applied data scientists' general understanding of regression models.

This specialization requires a fair amount of mathematical sophistication. Basic calculus and linear algebra are required to engage in the content.",Math and Logic,14806,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Advanced Level', 'Approximately 5 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Advanced Level', 'Approximately 5 months to complete', 'English']","['Brian Caffo, PhD']",1.0,Johns Hopkins University,170,4.3,Math and Logic,Advanced Statistics for Data Science Specialization,16913
13,specializations,"This specialization is intended for intermediate level learners with basic programming skills and basic cybersecurity knowledge. Through this course learner will learn about advanced secure software techniques such as those for cloud computing, TOR, web-based cryptography, and geo-location/context based access control. With these techniques, learners will be better prepared to implement new security and privacy preserving data security features, to perform secure system design and implementation, vulnerability analysis, and Securely Provision (SP), Operate and Maintain (OM), Oversee and Govern (OV), Protect and Defend (PR), Analyze (AN), Collect and Operate (CO), and investigate (IN) tasks.",Computer Science,6919,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 4 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 4 months to complete', 'English']","['Edward Chow', 'Greg Williams', 'Richard White']",3.0,University of Colorado System,111,4.6,Computer Security and Networks,Advanced System Security Design Specialization,1617
14,specializations,"View the Specialization trailer: https://youtu.be/nbbgAkJUbRo

Digitalisation is changing our society and the working world, creating new processes and radically altering existing workflows. Aerospace is being impacted like every other scientific field and innovation without digitalisation is no longer conceivable. The three-part MOOC series âDigitalisation in Aeronautics and Spaceâ is thus devoted to examining the transformations that have already occurred and forthcoming likely changes, posing the question: what will aerospace science be like in future and what will the influence of digitalisation be on research? An array of research fields are focused on in relation to this question, including artificial intelligence in earth observation, robots in production and digital avionics networks, among others.",Physical Science and Engineering,4351,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Intermediate Level', 'Approximately 3 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Intermediate Level', 'Approximately 3 months to complete', 'English']","['Klaus Drechsler', 'Guenter W. Hein']",2.0,Technische UniversitÃ¤t MÃ¼nchen (TUM),212,4.8,Mechanical Engineering,Digitalisation in Aeronautics and Space Specialization,2937
15,specializations,"Beyond practices and beyond principles, you'll learn the applied skills that enable an agile team to succeed. While applying an evidence-based approach across the four courses, you'll practice what you've learned by creating an actionable, adaptive focus for a digital product team.",Computer Science,29583,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 4 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 4 months to complete', 'English']",['Alex Cowan'],1.0,University of Virginia,2663,4.7,Design and Product,Agile Development Specialization,8372
16,specializations,"Constant fast change has become a reality of our time. Agile has become a popular leadership philosophy and a project management methodology for addressing this reality. While the theory is simple, itâs much more challenging to become Agile in practice.

To bridge the gap between an easy theory and complex application, you will learn three critical success components for executing the complexity of Agile in practice: the neuroscience of change, social psychology, and change management.

In this specialization, you will learn how to become an agile leader, how to build agile teams by using Agile philosophy and Scrum tools, and how to approach transforming a traditional organization into agile.

This specialization will prepare you to build change-resiliency within yourself, your team, and your organization and implement Agile practices where appropriate to leverage its maximum benefits.",Business,8288,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 5 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 5 months to complete', 'English']",['Oxana Trotsenko'],1.0,University of Colorado System,584,4.7,Leadership and Management,Agile Leadership Specialization,7166
17,specializations,"This specialization will provide learners with the fundamentals of using Big Data, Artificial Intelligence, and Machine Learning and the various areas in which you can deploy them to support your business. You'll cover ethics and risks of AI, designing governance frameworks to fairly apply AI, and also cover people management in the fair design of HR functions within Machine Learning. You'll also learn effective marketing strategies using data analytics, and how personalization can enhance and prolong the customer journey and lifecycle. Finally, you will hear from industry leaders who will provide you with insights into how AI and Big Data are revolutionizing the way we do business.

By the end of this specialization, you will be able to implement ethical AI strategies for people management and have a better understanding of the relationship between data analytics, artificial intelligence, and machine learning. You will leave this specialization with insight into how these tools can shape and influence how you manage your business.

For additional reading, Professor Hosanagar's book ""A Humanâs Guide to Machine Intelligence"" can be used as an additional resource,"". You can find Professor Hosanagar's book on his personal website or at Penguin Randomhouse.",Business,2378,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 4 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 4 months to complete', 'English']","['Kartik Hosanagar', 'Prasanna Tambe', 'Michael R Roberts', 'Raghu Iyengar', 'Matthew Bidwell', 'Peter Cappelli', 'Lynn Wu', 'Kevin Werbach']",8.0,University of Pennsylvania,88,4.7,Leadership and Management,AI For Business Specialization,7094
18,specializations,"Organizations in every industry are accelerating their use of artificial intelligence and machine learning to create innovative new products and systems. This requires professionals across a range of functions, not just strictly within the data science and data engineering teams, to understand when and how AI can be applied, to speak the language of data and analytics, and to be capable of working in cross-functional teams on machine learning projects.

This Specialization provides a foundational understanding of how machine learning works and when and how it can be applied to solve problems. Learners will build skills in applying the data science process and industry best practices to lead machine learning projects, and develop competency in designing human-centered AI products which ensure privacy and ethical standards. The courses in this Specialization focus on the intuition behind these technologies, with no programming required, and merge theory with practical information including best practices from industry. Professionals and aspiring professionals from a diverse range of industries and functions, including product managers and product owners, engineering team leaders, executives, analysts and others will find this program valuable.",Data Science,5042,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 4 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 4 months to complete', 'English']",['Jon Reifschneider'],1.0,Duke University,87,4.7,Machine Learning,AI Product Management Specialization,11155
19,specializations,"This specialization is intended for students looking to solidify their algebra and geometry necessary to be successful in future courses that will require precalculus and calculus. Quantitiative skill and reasoning are presented throughout the course to train students to think logically, reason with data, and make informed decisions.",Math and Logic,8225,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 4 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 4 months to complete', 'English']","['Joseph W. Cutrone, PhDTop Instructor']",1.0,Johns Hopkins University,235,4.8,Math and Logic,Algebra: Elementary to Advanced Specialization,15982
20,specializations,"In this specialization, you will learn the major functions that must be performed by a battery management system, how lithium-ion battery cells work and how to model their behaviors mathematically, and how to write algorithms (computer methods) to estimate state-of-charge, state-of-health, remaining energy, and available power, and how to balance cells in a battery pack.",Physical Science and Engineering,17100,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Intermediate Level', 'Approximately 8 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Intermediate Level', 'Approximately 8 months to complete', 'English']",['Gregory Plett'],1.0,University of Colorado Boulder,1379,4.8,Electrical Engineering,Algorithms for Battery Management Systems Specialization,7701
21,specializations,"Course Description

This specialization is intended for both students and businesses who aim to learn more about how Cloud technology can help them grow. With Cloud Computing, Big Data, and Cloud Security courses, users will be exposed to a series of products that combine to make architectures fit for any task.

This specialization will train the user on two levels: first, the basic specifications and functions of our principle product line, and secondly, evaluates a user's ability to use several different products together to create best practice solutions on Alibaba Cloud.

Users that pass this specialization will stand out among their peers as IT professionals that can not only build a cloud architecture on their own but administrate a larger network of cloud resources on Alibaba Cloud.

Taking this training offered by our official training partner, Coursera, will also prepare you to succeed on the ACP/ACA professional certification exam series (offered here: https://edu.alibabacloud.com/certification) and launch your next career as a Cloud professional.",Information Technology,2285,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 7 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 7 months to complete', 'English']","['Steve Xue', 'Derek Meng']",2.0,Alibaba Cloud Academy,81,4.6,Cloud Computing,Alibaba Cloud Computing Specialization,
22,specializations,"This specialization is intended for anyone who wants to achieve clearer, more understandable pronunciation of American English to help them communicate more easily and effectively. Through these four courses, you will learn about and practice consonant and vowel sounds, along with aspects of the âmusicâ of English, including word stress, intonation, and connected speech. Clearer pronunciation leads to success in business, education, or any field where English is required.",Language Learning,24756,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 4 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 4 months to complete', 'English']","['Helen Nam', 'Marla Yoshida', 'Meg ParkerTop Instructor', 'Emily Wong']",4.0,"University of California, Irvine",594,4.8,Learning English,The Pronunciation of American English Specialization,21707
23,specializations,"Este Programa de Cursos Integrados tem como objetivo apresentar que, em um mundo globalizado dominado pelo Big Data e InteligÃªncia Artificial no qual geramos dados de forma massiva, o gerenciamento de pessoas nas organizaÃ§Ãµes se tornou parte essencial e estratÃ©gica das organizaÃ§Ãµes data-driven. Muito alÃ©m de reduzir custos operacionais, um bom gerenciamento pode trazer benefÃ­cios para os resultados organizacionais, ao mesmo tempo que beneficia aspectos como Cultura Organizacional, trabalho em equipe, bem-estar e satisfaÃ§Ã£o dos colaboradores. Este curso tem por objetivo apresentar ao aluno as necessidades do mundo contemporÃ¢neo quanto ao gerenciamento de pessoas, principais conceitos e prÃ¡ticas de Recursos Humanos orientados a dados.

Ao final deste programa, vocÃª serÃ¡ capaz de:

- Ter uma visÃ£o geral sobre a EvoluÃ§Ã£o e o contexto atual do gerenciamento da forÃ§a de trabalho pelas organizaÃ§Ãµes;

- Identificar e utilizar conceitos-chave relacionados Ã  Workforce Management (WFM);

- Compreender suas possÃ­veis aplicaÃ§Ãµes e as possÃ­veis etapas na implantaÃ§Ã£o de WFM;

- Conhecer as principais tendÃªncias e boas prÃ¡ticas de WFM;

- Conhecer a fundo sobre ciÃªncia de dados e engenharia de dados;

- Aprofundar-se nas principais ferramentas de mercado;

- Conhecer os principais modelos de inteligÃªncia artificial e aprendizado de mÃ¡quinas utilizados no mercado.",Data Science,,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 3 months to complete', 'Portuguese (Brazilian)', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 3 months to complete', 'Portuguese (Brazilian)']","['Paula Suda', 'Anderson FranÃ§a']",2.0,FundaÃ§Ã£o Instituto de AdministraÃ§Ã£o,594,,Data Analysis,AnÃ¡lise de Dados para Workforce Management Specialization,
24,specializations,"El reciente auge de la analÃ­tica de datos ha generado nuevas oportunidades y retos para aprovechar los datos financieros en la toma de mejores decisiones que maximicen el valor y minimicen el riesgo para las organizaciones o personas. Independientemente que tenga conocimiento de finanzas o mercado financieros, si le interesa invertir en el corto o largo plazo, debe adquirir competencias bÃ¡sicas de analÃ­ticas que le ayuden a soportar sus decisiones de inversiÃ³n basado en la relaciÃ³n de rentabilidad-riesgo. El principio metodolÃ³gico del programa especializado es la combinaciÃ³n de bases teÃ³ricas y su aplicaciÃ³n en los mercados financieros. Se explorarÃ¡ las tÃ©cnicas avanzadas para estimar la rentabilidad esperada y el riesgo a asociado a inversiones de corto y largo plazo.",Data Science,,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Intermediate Level', 'Approximately 3 months to complete', 'Spanish', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Intermediate Level', 'Approximately 3 months to complete', 'Spanish']","['Adriana Abrego PÃ©rez', 'Julio Villarreal', 'Sergio Cabrales']",3.0,Universidad de los Andes,19,4.6,Data Analysis,AnalÃ­tica de Datos en Finanzasâ Specialization,2231
25,specializations,"Our world has become increasingly digital, and business leaders need to make sense of the enormous amount of available data today. In order to make key strategic business decisions and leverage data as a competitive advantage, it is critical to understand how to draw key insights from this data. The Business Analytics specialization is targeted towards aspiring managers, senior managers, and business executives who wish to have a well-rounded knowledge of business analytics that integrates the areas of data science, analytics and business decision making.

The courses in this Specialization will focus on strategy, methods, tools, and applications that are widely used in business. Topics covered include:

Data strategy at firms Reliable ways to collect, analyze, and visualize dataâand utilize data in organizational decision making Understanding data modeling and predictive analytics at a high-level Learning basic methods of business analytics by working with data sets and tools such as Power BI, Alteryx, and RStudio Learning to make informed business decisions via analytics across key functional areas in business such as finance, marketing, retail & supply chain management, and social media to enhance profitability and competitiveness.",Business,3316,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 6 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 6 months to complete', 'English']","['Ronald Guymon', 'Ashish Khandelwal', 'Kevin Hartman', 'Jessen Hobson', 'Unnati Narang', 'Joseph T. Yun']",6.0,University of Illinois at Urbana-Champaign,44,4.7,Business Essentials,Business Analytics Specialization,10742
26,specializations,"The field of analytics is typically built on four pillars: Descriptive Analytics, Predictive Analytics, Causal Analytics, and Prescriptive Analytics. Descriptive analytics (e.g., visualization, BI) deal with the exploration of data for patterns, predictive analytics (e.g., data mining, time-series forecasting) identifies what can happen next, causal modeling establishes causation, and prescriptive analytics help with formulating decisions. This specialization focuses on the Prescriptive Analytics (the final pillar). This specialization will review basic predictive modeling techniques that can be used to estimate values of relevant parameters, and then use optimization and simulation techniques to formulate decisions based on these parameter values and situational constraints. The specialization will teach how to model and solve decision-making problems using predictive models, linear optimization, and simulation methods.",Data Science,2236,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 4 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 4 months to complete', 'English']","['De Liu', 'Soumya Sen', 'Alok Gupta']",3.0,University of Minnesota,59,4.7,Data Analysis,Analytics for Decision Making Specialization,3123
27,specializations,"This specialization targets learners who seek to understand the opportunities that data and analytics present for their organization and those interested in the value of and implications for data as an asset to their organization. Individuals who manage data and make decisions about how data can be leveraged in their organization will find this specialization of particular value.

Businesses run on data, and data offers little value without analytics. The ability to process data to make predictions about the behavior of individuals or markets, to diagnose systems or situations, or to prescribe actions for people or processes drives business today. Increasingly many businesses are striving to become âdata-drivenâ, proactively relying more on cold hard information and sophisticated algorithms than upon the gut instinct or slow reactions of humans.

In this information age, the value of data as a business asset is essential. Organizations must creatively consider and implement new ways to generate economic benefits from the wide array of information assets available. Unfortunately, information frequently is under-appreciated and underutilized. Besides, accounting practices fail to recognize the financial value of information, and traditional asset management practices fail to recognize information as an asset to be managed with earnest discipline. This has led to a business culture of complacence, and the inability for organizations to leverage available information assets.",Business,1619,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 4 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 4 months to complete', 'English']",['Douglas B. Laney'],1.0,University of Illinois at Urbana-Champaign,30,4.8,Business Strategy,Introduction to Business Analytics and Information Economics Specialization,1705
28,specializations,"This Specialization is for business professionals and students who are building business strategy and planning skills. Itâs also ideal for senior leadership who need insight beyond basic business modeling and scenario planning to capture value from their strategic planning and budgeting processes. Through three courses, you will cover the principles and benefits of Connected Planning, learn from real-life Connected Planning case studies from a wide range of industries and functions, and explore the organizational imperatives critical to successful Connected Planning adoption. Together, these courses will prepare you to drive a Connected Planning implementation in your own organization.",Business,,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 6 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 6 months to complete', 'English']","['Linda Scott', 'LA Foster']",2.0,Anaplan,30,,Business Strategy,Connected Planning for Business Transformation Specialization,
29,specializations,"In this Specialization you will explore human anatomy using a systems approach, and a vast library of multimedia materials, so you may understand the features of different organ systems in relation to the human bodyâs form and function.

This Specialization covers the following organ systems:

Integumentary System

Musculoskeletal System

Cardiovascular System

Respiratory System

Urinary System

Nervous System

Gastrointestinal System

Reproductive System

Endocrine System

This Specialization takes advantage of a highly visual multimedia library of accurate anatomical models and materials to help you better understand the topics.",Health,53305,"['Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 5 months to complete', 'English', 'Shareable Certificate', '100% online courses', 'Flexible Schedule', 'Beginner Level', 'Approximately 5 months to complete', 'English']","['Kathleen Alsup', 'Glenn M. Fox', 'Kelli Sullivan']",3.0,University of Michigan,2440,4.8,Basic Science,Anatomy Specialization,31084
